title,href
"[AI픽] 세미파이브, 180억 규모 차세대 AI칩 개발 수주",https://n.news.naver.com/mnews/article/001/0015957638?sid=105
포토샵도 필요 없는 시대…AI 압박 속 어도비 CEO 사임,https://n.news.naver.com/mnews/article/015/0005261832?sid=104
"""보험사는 사악해"" ""대표한테 총을…"" 폭력 부추기는 AI챗봇",https://n.news.naver.com/mnews/article/001/0015954241?sid=104
"한성숙 중기장관, LG생산기술원서 상생형 AI 스마트제조 점검",https://n.news.naver.com/mnews/article/001/0015957580?sid=101
"""AI 못하면 뒤처진다""…중진공, 중소기업 AX 전환 본격 지원",https://n.news.naver.com/mnews/article/015/0005261603?sid=101
"윈스테크넷, 생성형 AI 보안솔루션 'SNIPER AIVAX' 출시",https://n.news.naver.com/mnews/article/003/0013820578?sid=101
"직방, 가상오피스 플랫폼에 AI 다국어 기능 도입",https://n.news.naver.com/mnews/article/003/0013820531?sid=101
"외부칩 대거 도입한 메타, 자체 AI칩도 공개…개발 난항설 불식",https://n.news.naver.com/mnews/article/001/0015953472?sid=104
"JKM, 세종캠퍼스 준공…AI 반도체 소재 생산기지 확보",https://n.news.naver.com/mnews/article/003/0013819503?sid=101
AI 공포에 주가 40% 폭락…'18년 경력' CEO 물러난다,https://n.news.naver.com/mnews/article/015/0005261889?sid=105
