title,href
"정재헌 SKT CEO ""통신사 넘어 AI 인프라 설계자로""",https://n.news.naver.com/mnews/article/001/0015956991?sid=105
"류긍선 카카오모빌리티 대표 ""피지컬 AI 기반 기업으로 도약""",https://n.news.naver.com/mnews/article/421/0008824068?sid=101
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://n.news.naver.com/mnews/article/003/0013819928?sid=102
"李대통령 ""국민주권 정부니까 가능…AI전환 신속 추진""",https://n.news.naver.com/mnews/article/277/0005733739?sid=100
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://n.news.naver.com/mnews/article/037/0000037818?sid=101
"[단독] 산업연구원 “AI발 고용 충격, 지진처럼 급작스럽게 발현할 수도...",https://n.news.naver.com/mnews/article/028/0002795795?sid=102
"[특징주] 크래프톤, 한화에어로와 피지컬AI 합작사 추진에 8% 상승(종합...",https://n.news.naver.com/mnews/article/001/0015957780?sid=101
"넥써쓰-데브 스트림 랩스, AI로 게임사 웹3 진출 돕는다",https://n.news.naver.com/mnews/article/003/0013820616?sid=105
포천 농가서 AI 항원 검출…닭 4만5000마리 예방적 살처분,https://n.news.naver.com/mnews/article/015/0005261933?sid=102
"엔비디아, 에이전트 특화 개방형AI 새모델 공개…""AI 새 전환점""",https://n.news.naver.com/mnews/article/001/0015953462?sid=104
