title,content
개인회생시에 취업시 불이익이 되는 경우의 수가 있나요?,"개인회생시에 취업시 불이익이 되는 경우의 수가 있나요? 안녕하세요, 제가 학자금이랑 자영업폐업후 합쳐서 빚이 1억 넘게 있는데이게 이자 때문에 생활이 감당이 안됩니다;;;;;현재 저는 세무사 시험 3년차인 상태로 언제든 시험에 붙어 취업을 할수 있지만,또 기약없이 취업이 안될수도 있는 상태입니다.1) 회생 중에 대기업이나 세무법인 취업시 '불이익' 을 받을 수 있나요?2) 제가 지금 당장 취업을 해서 일단 수입을 마련해야 회생 진행이 가능한가요?    회생 진행중에 일을 그만두면 몇달이내에 다시 구해야 회생절차가 중단 안되는 법이 있나요?3) 만약 제가 회생종료 예를들어 1년을 남겨두고, 대기업에 입사하게 되어 월 급여가 많아진 경우에는,    채무가 다시 시작된다거나 뭐 그런게 있나요? 아니면 그대로 진행 되나요?4) 회생 종료 후에, 저에게 남겨지는 불이익이 하나도 없나요? 없는게 오히려 말이 안되는거 같아서요...5) 그리고 보통 세무법인에 회생 중재 맡길때 내는 비용이 어느정도 되나요?회생 처음 알아보는 중인데 감사합니다."
내일배움카드랑 국민 취업 지원제도 중복 되나요?,내일 배움카드 신청해서 학원 알아봤는데 학원에서는 내일배움카드보다 국민 취업 지원 제도 알려주시는데 이거 둘다 신청 가능 한가요??
"AI 에이전트 도입, 취업 준비에 실질적인 도움 될까요?","잡코리아가 AI 에이전트를 통해 구직자와 기업을 연결한다고 하던데, 실제로 취업 준비 과정에서 얼마나 도움이 될지 의문이에요. 예를 들어, 제가 원하는 직무나 기업의 문화에 맞는 기회를 AI가 잘 추천해주나요? 아니면 그냥 기존의 키워드 매칭 방식과 별 차이가 없을까요? 실제로 이 시스템을 통해 취업에 성공한 사례가 있는지, 그리고 준비 과정에서 어떤 식으로 활용하면 좋을지 팁을 얻고 싶습니다."
해외취업 잘 되는 학과가 있나요?,저는 해외취업을 꿈꾸고 있는 고등학생 입니다! 오래 전부터 해외취업을 꿈꿔왔는데요 물론 해외 취업에 성공하여 해외살이를 한다는 것이 쉽지만은 않겠지만! 외국어로 다른 나라 사람들과 대화하며 다른 문화에서 일을 해보고 싶어요 아니면 한국에 있는 회사여도 해외인사팀 이런 곳에서 일해보고 싶기두 하고여ㅎㅎ 그래서 궁금합니다! 어떤 학과가 해외취업이 잘 되는지! 글로벌비즈니스학과 이런 곳이 해외취업이 잘 되려나요?
영어 통번역 자격증 취업 준비용으로는 어떤가요,"현재 3학년이고 해외영업이나 무역 쪽 생각 중입니다.  토익은 있는데 막상 실무 영어쪽이 좀 약한것같고 이걸 보여줄수있는 검증된 무언가가 필요한지 싶어서요. 인터넷에 영어 통번역 자격증 찾아보니까 종류가 여러 개 있던데, 대학생이 취업 준비용으로 따기엔 뭐가 제일 현실적인지 궁금합니다. 실제로 준비해보신 분들 계시면 난이도나 활용도 좀 알려주세요."
실업급여 받는 중에 취업하면 어떻게 되나요?,"현재 실업급여를 받고 있는 중인데, 최근에 취업 제안을 받아서 고민 중입니다. 만약 지금 취업하게 되면 실업급여는 바로 중단되는 건가요? 아니면 남은 기간 동안 계속 받을 수 있는 건가요? 취업하게 되면 구직활동 증명 이런 것도 해야 한다고 들었는데, 구체적으로 어떻게 해야 하는지 알고 싶습니다. 경험자 분들의 조언 부탁드려요."
VMD호 해외 취업 가능 한가요?,"안녕하세요. 저는 제과제빵을 전공하였지만 잘 맞지 않아서 vmd로 진로를 전향 하려고 합니다. 그러나 현실적인 문제가 있어서 최적의 루트를 고민하다가 글을 올려요 제가 올해 30살이라 빨리 다른 나라에서 vmd로 먹고 살만한 루트를 정해야되는데, 지금은 호주 워홀중이고 다음에는 뉴질랜드 워홀을 갔다가 학생비자로 전환하려고 합니다. 사실 궁극적으로는 영어권 나라에서 영주권까지 생각중입니다. VMD로 해외 취업 어떤 루틴이 제일 최적인가요?"
공기업 취업학원 어디가 있을까요?,안녕하세요. 마포구에 살고있는 취준생입니다.올해 졸업을 하고 이제 공기업을 준비 해보려고 합니다.일단 준비된건 어학 토익 800점하고 컴활1급 한국사는 준비했습니다.문제는 그다음입니다. 서류를 제출해야 하는데 잘 모르겠습니다..면접도 하나도 모르겠구요.. NCS는 지금 교재를 하나 구입하긴 했습니다.이것도.. 만만하지는 않네요..ㅠㅠ그래서 공기업 관련해서 공기업 취업학원을 찾아 보려고 합니다.집이랑 가까우면 좋긴 하겠지만 그래도 서울에 있다면 다녀 볼까생각도 하고 있습니다.! 추천부탁드립니다.
개인사업자를 가지고 있는자가 취업하여 고용보험과 산재보험만 가입해도 상관없는지요?,개인사업자를 가지고 있는자가 취업하였습니다. 두달간만 프리랜서로 3.3만 떼는것으로 신고하였고  일하다 다칠까봐 고용보험과 산재보험을 사업자에서 가입을 했습니다. 이로 인해 문제가 되는걸까요? 현제 세금이 밀려있어 폐업을 하지 못하고 있는상태이고 계속적으로 근무하기를 희망하고 있습니다. 어떻게 해야할지 계속3.3 떼고 고용보험과 산재보험을 유지해야하는지? 아님 고용보험과 산재보험을 상실신고 해야하는지 궁금합니다.
한국장학재단 고교취업연계장려금 신청,작년에 고교취업연계장려금 신청하고 회사 다니면서 근로계약서를 적은지 3개월이 지났습니다. 취업보고관리가 안 되어 있어서 하려고 보니 퇴사일이 필수로 적어야 한다고 나와있는데 어떻게 입력해야 하나요?
